planning_area,destination,ett,ett lower (min),ett higher (min),ett ave,0
BEDOK,CITY HALL,26.0,14.0,30.0,22.0,0.11166785969935578
BEDOK,ION ORCHARD,37.0,16.0,35.0,25.5,0.18372703412073488
BEDOK,SINGAPORE GENERAL HOSPITAL,31.0,16.0,30.0,23.0,0.156110920917494
BUKIT TIMAH,CITY HALL,39.0,12.0,35.0,23.5,0.23957111744010717
BUKIT TIMAH,ION ORCHARD,35.0,10.0,26.0,18.0,0.3158355205599299
BUKIT TIMAH,SINGAPORE GENERAL HOSPITAL,43.0,14.0,30.0,22.0,0.3185397279885469
BUKIT BATOK,CITY HALL,48.0,22.0,40.0,31.0,0.20980441960883917
BUKIT BATOK,ION ORCHARD,43.0,16.0,40.0,28.0,0.20641169853768282
BUKIT BATOK,SINGAPORE GENERAL HOSPITAL,51.0,16.0,40.0,28.0,0.28290213723284585
BUKIT MERAH,CITY HALL,25.0,7.0,18.0,12.5,0.3307086614173228
BUKIT MERAH,ION ORCHARD,28.0,6.0,22.0,14.0,0.3307086614173228
BUKIT MERAH,SINGAPORE GENERAL HOSPITAL,13.0,1.0,6.0,3.5,0.7896512935883014
CENTRAL WATER CATCHMENT,CITY HALL,,22.0,50.0,36.0,
CENTRAL WATER CATCHMENT,ION ORCHARD,,20.0,45.0,32.5,
CENTRAL WATER CATCHMENT,SINGAPORE GENERAL HOSPITAL,,22.0,45.0,33.5,
DOWNTOWN CORE,CITY HALL,12.0,5.0,16.0,10.5,0.10123734533183348
DOWNTOWN CORE,ION ORCHARD,22.0,6.0,20.0,13.0,0.24833434282253175
DOWNTOWN CORE,SINGAPORE GENERAL HOSPITAL,16.0,5.0,18.0,11.5,0.16775077028414925
CHANGI,CITY HALL,90.0,18.0,30.0,24.0,0.7992125984251969
CHANGI,ION ORCHARD,100.0,20.0,40.0,30.0,0.6876640419947506
CHANGI,SINGAPORE GENERAL HOSPITAL,95.0,20.0,30.0,25.0,0.8125984251968502
CHANGI BAY,CITY HALL,96.0,24.0,45.0,34.5,0.5402259500171174
CHANGI BAY,ION ORCHARD,107.0,28.0,55.0,41.5,0.48553268190873733
CHANGI BAY,SINGAPORE GENERAL HOSPITAL,101.0,26.0,45.0,35.5,0.5569479871354109
LIM CHU KANG,CITY HALL,106.0,35.0,60.0,47.5,0.3927061748860339
LIM CHU KANG,ION ORCHARD,113.0,30.0,55.0,42.5,0.5070866141732283
LIM CHU KANG,SINGAPORE GENERAL HOSPITAL,99.0,30.0,50.0,40.0,0.45787401574803144
BOON LAY,CITY HALL,65.0,22.0,40.0,31.0,0.35661671323342636
BOON LAY,ION ORCHARD,68.0,22.0,45.0,33.5,0.3387001997884592
BOON LAY,SINGAPORE GENERAL HOSPITAL,58.0,18.0,35.0,26.5,0.3812212152726192
WESTERN WATER CATCHMENT,CITY HALL,64.0,35.0,60.0,47.5,0.1559883961873187
WESTERN WATER CATCHMENT,ION ORCHARD,68.0,28.0,55.0,41.5,0.23394364861018874
WESTERN WATER CATCHMENT,SINGAPORE GENERAL HOSPITAL,57.0,26.0,50.0,38.0,0.19685039370078738
WOODLANDS,CITY HALL,49.0,24.0,50.0,37.0,0.14981911044903168
WOODLANDS,ION ORCHARD,41.0,20.0,45.0,32.5,0.13301029678982434
WOODLANDS,SINGAPORE GENERAL HOSPITAL,48.0,22.0,40.0,31.0,0.20980441960883917
MARINE PARADE,CITY HALL,29.0,9.0,24.0,16.5,0.2658076831305177
MARINE PARADE,ION ORCHARD,37.0,12.0,35.0,23.5,0.2167867314458033
MARINE PARADE,SINGAPORE GENERAL HOSPITAL,48.0,10.0,20.0,15.0,0.6519685039370079
NEWTON,CITY HALL,23.0,7.0,24.0,15.5,0.1925323850647701
NEWTON,ION ORCHARD,17.0,3.0,12.0,7.5,0.40209973753280837
NEWTON,SINGAPORE GENERAL HOSPITAL,31.0,7.0,22.0,14.5,0.36763508009774637
NORTH-EASTERN ISLANDS,CITY HALL,,,,,
NORTH-EASTERN ISLANDS,ION ORCHARD,,,,,
NORTH-EASTERN ISLANDS,SINGAPORE GENERAL HOSPITAL,,,,,
ORCHARD,CITY HALL,14.0,6.0,24.0,15.0,0.04514435695538058
ORCHARD,ION ORCHARD,15.0,3.0,10.0,6.5,0.41308298001211374
ORCHARD,SINGAPORE GENERAL HOSPITAL,22.0,7.0,22.0,14.5,0.20146619603584032
PASIR RIS,CITY HALL,41.0,18.0,28.0,23.0,0.27250941458404654
PASIR RIS,ION ORCHARD,51.0,20.0,35.0,27.5,0.2917680744452398
PASIR RIS,SINGAPORE GENERAL HOSPITAL,46.0,20.0,30.0,25.0,0.2878740157480315
PIONEER,CITY HALL,58.0,18.0,45.0,31.5,0.2882139732533433
PIONEER,ION ORCHARD,62.0,18.0,50.0,34.0,0.2834645669291338
PIONEER,SINGAPORE GENERAL HOSPITAL,51.0,16.0,30.0,23.0,0.38890790825059907
PUNGGOL,CITY HALL,49.0,18.0,35.0,26.5,0.2902986183330857
PUNGGOL,ION ORCHARD,53.0,18.0,40.0,29.0,0.28455063806679337
PUNGGOL,SINGAPORE GENERAL HOSPITAL,48.0,20.0,35.0,27.5,0.2625626342161775
QUEENSTOWN,CITY HALL,27.0,16.0,35.0,25.5,0.07874015748031499
QUEENSTOWN,ION ORCHARD,31.0,10.0,26.0,18.0,0.2563429571303587
QUEENSTOWN,SINGAPORE GENERAL HOSPITAL,20.0,10.0,28.0,19.0,0.07708246995441359
SEMBAWANG,CITY HALL,40.0,28.0,55.0,41.5,0.05331562470353857
SEMBAWANG,ION ORCHARD,35.0,24.0,50.0,37.0,0.04852096190678867
SEMBAWANG,SINGAPORE GENERAL HOSPITAL,52.0,24.0,45.0,34.5,0.19879036859522992
SIMPANG,CITY HALL,66.0,24.0,45.0,34.5,0.3074289626840123
SIMPANG,ION ORCHARD,61.0,20.0,40.0,30.0,0.3396325459317585
SIMPANG,SINGAPORE GENERAL HOSPITAL,77.0,22.0,35.0,28.5,0.5185799143528111
TAMPINES,CITY HALL,47.0,16.0,35.0,25.5,0.2887139107611548
TAMPINES,ION ORCHARD,58.0,16.0,28.0,22.0,0.501073729420186
TAMPINES,SINGAPORE GENERAL HOSPITAL,53.0,16.0,24.0,20.0,0.5047244094488188
TANGLIN,CITY HALL,25.0,9.0,28.0,18.5,0.15705469248776333
TANGLIN,ION ORCHARD,11.0,4.0,14.0,9.0,0.12248468941382329
TANGLIN,SINGAPORE GENERAL HOSPITAL,19.0,7.0,22.0,14.5,0.14607656801520497
