planning_area,cbd_diff,ion_diff,sgh_diff,cbd_diff_score,ion_diff_score,sgh_diff_score,total_score
NOVENA,3.0,-1.0,20.0,1.0,1.0,0.8709677419354839,0.956989247311828
STRAITS VIEW,8.0,4.0,14.0,0.9166666666666666,0.9285714285714285,0.967741935483871,0.9376600102406553
ROCHOR,7.0,7.0,13.0,0.9333333333333333,0.8857142857142857,0.9838709677419355,0.9343061955965183
MARINA SOUTH,10.0,4.0,13.0,0.8833333333333333,0.9285714285714285,0.9838709677419355,0.9319252432155657
ORCHARD,5.0,12.0,12.0,0.9666666666666667,0.8142857142857143,1.0,0.9269841269841269
TANGLIN,9.0,3.0,18.0,0.9,0.9428571428571428,0.9032258064516129,0.9153609831029187
BISHAN,12.0,0.0,20.0,0.85,0.9857142857142857,0.8709677419354839,0.9022273425499231
GEYLANG,3.0,11.0,20.0,1.0,0.8285714285714285,0.8709677419354839,0.8998463901689707
QUEENSTOWN,7.0,14.0,14.0,0.9333333333333333,0.7857142857142857,0.967741935483871,0.8955965181771633
OUTRAM,8.0,12.0,15.0,0.9166666666666666,0.8142857142857143,0.9516129032258064,0.8941884280593958
JURONG EAST,9.0,10.0,16.0,0.9,0.8428571428571429,0.9354838709677419,0.8927803379416283
DOWNTOWN CORE,11.0,10.0,14.0,0.8666666666666667,0.8428571428571429,0.967741935483871,0.8924219150025602
KALLANG,8.0,12.0,20.0,0.9166666666666666,0.8142857142857143,0.8709677419354839,0.8673067076292883
SINGAPORE RIVER,9.0,12.0,20.0,0.9,0.8142857142857143,0.8709677419354839,0.8617511520737328
YISHUN,9.0,6.0,26.0,0.9,0.9,0.7741935483870968,0.8580645161290322
BEDOK,8.0,13.0,21.0,0.9166666666666666,0.7999999999999999,0.8548387096774194,0.8571684587813619
BUKIT MERAH,13.0,14.0,15.0,0.8333333333333334,0.7857142857142857,0.9516129032258064,0.8568868407578085
SEMBAWANG,9.0,6.0,27.0,0.9,0.9,0.7580645161290323,0.8526881720430107
CLEMENTI,11.0,13.0,19.0,0.8666666666666667,0.7999999999999999,0.8870967741935484,0.8512544802867383
RIVER VALLEY,11.0,12.0,22.0,0.8666666666666667,0.8142857142857143,0.8387096774193548,0.8398873527905786
NEWTON,12.0,12.0,27.0,0.85,0.8142857142857143,0.7580645161290323,0.8074500768049155
BUKIT PANJANG,18.0,9.0,24.0,0.75,0.8571428571428571,0.8064516129032258,0.804531490015361
