planning_area,num_busstops,num_trainstations,num_busservices,avg_bus_freq,num_busstops_score,num_trainstations_score,num_busservices_score,avg_bus_freq_score
BEDOK,286.0,6.0,93.0,14.0,1.0,0.29411764705882354,0.9787234042553191,0.8823529411764706
BUKIT TIMAH,112.0,6.0,37.0,13.0,0.3894736842105263,0.29411764705882354,0.3829787234042553,0.9411764705882353
BUKIT BATOK,162.0,3.0,56.0,13.0,0.5649122807017544,0.11764705882352941,0.5851063829787234,0.9411764705882353
BUKIT MERAH,176.0,8.0,66.0,14.0,0.6140350877192983,0.4117647058823529,0.6914893617021276,0.8823529411764706
CENTRAL WATER CATCHMENT,20.0,,20.0,14.0,0.06666666666666667,,0.20212765957446807,0.8823529411764706
DOWNTOWN CORE,79.0,15.0,95.0,15.0,0.2736842105263158,0.8235294117647058,1.0,0.8235294117647058
CHANGI,90.0,1.0,28.0,15.0,0.312280701754386,0.0,0.28723404255319146,0.8235294117647058
CHANGI BAY,1.0,,1.0,12.0,0.0,,0.0,1.0
LIM CHU KANG,29.0,,6.0,14.0,0.09824561403508772,,0.05319148936170213,0.8823529411764706
BOON LAY,67.0,,13.0,12.0,0.23157894736842105,,0.1276595744680851,1.0
WESTERN WATER CATCHMENT,92.0,,11.0,12.0,0.3192982456140351,,0.10638297872340426,1.0
WOODLANDS,213.0,6.0,54.0,12.0,0.743859649122807,0.29411764705882354,0.5638297872340425,1.0
MARINE PARADE,57.0,,38.0,15.0,0.19649122807017544,,0.39361702127659576,0.8235294117647058
NEWTON,11.0,2.0,19.0,16.0,0.03508771929824561,0.058823529411764705,0.19148936170212766,0.7647058823529411
NORTH-EASTERN ISLANDS,,,,,,,,
ORCHARD,18.0,2.0,36.0,15.0,0.05964912280701754,0.058823529411764705,0.3723404255319149,0.8235294117647058
PASIR RIS,166.0,1.0,41.0,16.0,0.5789473684210527,0.0,0.425531914893617,0.7647058823529411
PIONEER,130.0,2.0,14.0,12.0,0.45263157894736844,0.058823529411764705,0.13829787234042554,1.0
PUNGGOL,100.0,16.0,42.0,13.0,0.3473684210526316,0.8823529411764706,0.4361702127659574,0.9411764705882353
QUEENSTOWN,223.0,9.0,68.0,13.0,0.7789473684210526,0.47058823529411764,0.7127659574468085,0.9411764705882353
SEMBAWANG,146.0,2.0,28.0,13.0,0.5087719298245614,0.058823529411764705,0.28723404255319146,0.9411764705882353
SIMPANG,,,,,,,,
TAMPINES,257.0,11.0,69.0,15.0,0.8982456140350877,0.5882352941176471,0.7234042553191489,0.8235294117647058
TANGLIN,49.0,5.0,45.0,15.0,0.16842105263157894,0.23529411764705882,0.46808510638297873,0.8235294117647058
TUAS,179.0,4.0,8.0,13.0,0.624561403508772,0.1764705882352941,0.07446808510638298,0.9411764705882353
WESTERN ISLANDS,,,,,,,,
SOUTHERN ISLANDS,4.0,,1.0,14.0,0.010526315789473684,,0.0,0.8823529411764706
BUKIT PANJANG,103.0,11.0,40.0,13.0,0.35789473684210527,0.5882352941176471,0.4148936170212766,0.9411764705882353
BISHAN,98.0,6.0,47.0,13.0,0.34035087719298246,0.29411764705882354,0.48936170212765956,0.9411764705882353
ANG MO KIO,167.0,4.0,70.0,14.0,0.5824561403508772,0.1764705882352941,0.7340425531914894,0.8823529411764706
GEYLANG,154.0,10.0,80.0,13.0,0.5368421052631579,0.5294117647058824,0.8404255319148936,0.9411764705882353
STRAITS VIEW,4.0,2.0,1.0,29.0,0.010526315789473684,0.058823529411764705,0.0,0.0
JURONG EAST,146.0,2.0,54.0,13.0,0.5087719298245614,0.058823529411764705,0.5638297872340425,0.9411764705882353
HOUGANG,203.0,5.0,79.0,13.0,0.7087719298245614,0.23529411764705882,0.8297872340425532,0.9411764705882353
JURONG WEST,242.0,3.0,55.0,12.0,0.8456140350877193,0.11764705882352941,0.5744680851063829,1.0
CHOA CHU KANG,115.0,8.0,42.0,13.0,0.4,0.4117647058823529,0.4361702127659574,0.9411764705882353
KALLANG,113.0,8.0,75.0,14.0,0.3929824561403509,0.4117647058823529,0.7872340425531915,0.8823529411764706
MANDAI,15.0,1.0,13.0,13.0,0.04912280701754386,0.0,0.1276595744680851,0.9411764705882353
TENGAH,14.0,,20.0,15.0,0.0456140350877193,,0.20212765957446807,0.8235294117647058
MARINA EAST,,,,,,,,
MARINA SOUTH,6.0,1.0,1.0,29.0,0.017543859649122806,0.0,0.0,0.0
MUSEUM,19.0,4.0,66.0,15.0,0.06315789473684211,0.1764705882352941,0.6914893617021276,0.8235294117647058
NOVENA,76.0,3.0,55.0,14.0,0.2631578947368421,0.11764705882352941,0.5744680851063829,0.8823529411764706
OUTRAM,26.0,6.0,39.0,14.0,0.08771929824561403,0.29411764705882354,0.40425531914893614,0.8823529411764706
PAYA LEBAR,40.0,,15.0,13.0,0.1368421052631579,,0.14893617021276595,0.9411764705882353
RIVER VALLEY,14.0,3.0,25.0,15.0,0.0456140350877193,0.11764705882352941,0.2553191489361702,0.8235294117647058
ROCHOR,30.0,6.0,44.0,15.0,0.10175438596491228,0.29411764705882354,0.4574468085106383,0.8235294117647058
SELETAR,27.0,,9.0,12.0,0.0912280701754386,,0.0851063829787234,1.0
SENGKANG,155.0,18.0,60.0,13.0,0.5403508771929825,1.0,0.6276595744680851,0.9411764705882353
SERANGOON,143.0,3.0,71.0,14.0,0.4982456140350877,0.11764705882352941,0.7446808510638298,0.8823529411764706
CLEMENTI,108.0,2.0,51.0,12.0,0.37543859649122807,0.058823529411764705,0.5319148936170213,1.0
TOA PAYOH,129.0,8.0,77.0,13.0,0.44912280701754387,0.4117647058823529,0.8085106382978723,0.9411764705882353
SINGAPORE RIVER,19.0,2.0,37.0,14.0,0.06315789473684211,0.058823529411764705,0.3829787234042553,0.8823529411764706
SUNGEI KADUT,91.0,2.0,15.0,13.0,0.3157894736842105,0.058823529411764705,0.14893617021276595,0.9411764705882353
YISHUN,178.0,3.0,57.0,13.0,0.6210526315789474,0.11764705882352941,0.5957446808510638,0.9411764705882353
