BusStopCode,RoadName,Description,Latitude,Longitude,planning_area
1012,Victoria St,Hotel Grand Pacific,1.29684825487647,103.85253591654006,ROCHOR
1013,Victoria St,St. Joseph's Ch,1.29770970610083,103.8532247463225,ROCHOR
1019,Victoria St,Bras Basah Cplx,1.29698951191332,103.85302201172507,DOWNTOWN CORE
1029,Nth Bridge Rd,Opp Natl Lib,1.2966729849642,103.85441422464268,DOWNTOWN CORE
1039,Nth Bridge Rd,Bugis Cube,1.29820784139683,103.85549139837408,DOWNTOWN CORE
1059,Victoria St,Bugis Stn Exit B,1.30075679526626,103.85611040457584,DOWNTOWN CORE
1109,Queen St,Queen St Ter,1.30358577565355,103.85650372998224,ROCHOR
1112,Victoria St,Opp Bugis Stn Exit C,1.30009212839081,103.85520027125814,ROCHOR
1113,Victoria St,Bugis Stn Exit A,1.30117297541547,103.8561140106393,DOWNTOWN CORE
1119,Victoria St,Aft Bugis Stn Exit C,1.2996041093804,103.85512934079571,DOWNTOWN CORE
1121,Victoria St,Stamford Pr Sch,1.30393809691048,103.85867999243207,ROCHOR
1129,Victoria St,Opp Stamford Pr Sch,1.30350269187301,103.85864530718491,ROCHOR
1139,Nth Bridge Rd,Bugis Stn/Parkview Sq,1.30033057855542,103.857160806659,DOWNTOWN CORE
1211,Victoria St,Opp Blk 461,1.30551803523268,103.8605449516032,KALLANG
1219,Victoria St,Blk 461,1.30526598535719,103.86072019914616,KALLANG
1229,Nth Bridge Rd,Bef Sultan Mque,1.30337552638813,103.85963089198265,ROCHOR
1231,Jln Sultan,Opp Textile Ctr,1.3032499999752,103.8610830559663,ROCHOR
1239,Jln Sultan,Sultan Plaza,1.30291236608351,103.86161817611134,KALLANG
1311,Kallang Rd,Lavender Stn Exit B,1.3070916463394,103.86219695240972,KALLANG
1319,Kallang Rd,Lavender Stn Exit A/ICA,1.30757426746418,103.86325596123476,KALLANG
1329,Nth Bridge Rd,Blk 8,1.30495670239172,103.86363028484124,KALLANG
1339,Crawford St,Bef Crawford Bridge,1.30774601733202,103.8642627465441,KALLANG
1341,Crawford St,Southbank,1.30647555600578,103.86452527798744,KALLANG
1349,Crawford St,Opp Blk 4,1.30568635716829,103.86543994417885,KALLANG
1411,Beach Rd,Opp St. John HQ,1.30211332865049,103.86295598167332,KALLANG
1419,Beach Rd,St. John HQ,1.3020199999911,103.86326333301204,DOWNTOWN CORE
1421,Beach Rd,Opp Golden Mile Cplx,1.30338444400173,103.8648388889864,KALLANG
1429,Beach Rd,Golden Mile Cplx,1.3032136089394,103.86501584807765,DOWNTOWN CORE
1511,Beach Rd,Opp The Gateway,1.29919826103807,103.85864518302436,DOWNTOWN CORE
1519,Beach Rd,The Gateway,1.29907492488417,103.8589102973441,DOWNTOWN CORE
1521,Beach Rd,Opp Plaza Parkroyal,1.30088304437602,103.86066098182194,ROCHOR
1529,Beach Rd,Plaza Parkroyal,1.30041667676526,103.86044115259938,DOWNTOWN CORE
1541,Rochor Rd,Bugis Stn Exit D,1.29886465442254,103.85734583628746,DOWNTOWN CORE
1549,Ophir Rd,Opp Duo Residences,1.30069868861162,103.85873120467068,ROCHOR
1559,Ophir Rd,Landmark Village Hotel,1.30168731070562,103.85752923961614,ROCHOR
1611,Beach Rd,Aft Raffles Hotel,1.29527259171342,103.85533686181174,DOWNTOWN CORE
1619,Beach Rd,Esplanade Stn Exit F,1.29428694178246,103.85503809424232,DOWNTOWN CORE
1621,Beach Rd,Opp Shaw Twrs,1.29695888888745,103.85655611109846,DOWNTOWN CORE
1629,Beach Rd,Shaw Twrs,1.297085,103.856894,DOWNTOWN CORE
1631,Middle Rd,Aft Beach Rd,1.29693614589482,103.85580555528075,DOWNTOWN CORE
1639,Middle Rd,Bef Beach Rd,1.29738750001468,103.85557583297624,DOWNTOWN CORE
2029,Esplanade Dr,Aft Esplanade Stn Exit D,1.290106,103.85464,DOWNTOWN CORE
2049,Bras Basah Rd,Raffles Hotel,1.29452091230981,103.85402155505172,DOWNTOWN CORE
2051,Raffles Ave,The Float @ Marina Bay,1.289503056,103.8590339,DOWNTOWN CORE
2061,Raffles Ave,The Esplanade,1.2899638888957,103.85640388886262,DOWNTOWN CORE
2089,Raffles Blvd,Promenade Stn/Pan Pacific,1.29152694444975,103.8592061110504,DOWNTOWN CORE
2099,Raffles Blvd,Marina Ctr Ter,1.29147264805943,103.8614855838078,DOWNTOWN CORE
2101,Raffles Ave,Aft S'pore Flyer,1.28938483786533,103.86183148116277,DOWNTOWN CORE
2111,Esplanade Dr,Esplanade Bridge,1.29095592348389,103.85453419435228,DOWNTOWN CORE
