planning_area,destination,ett ave,
BEDOK,CITY HALL,26,
BEDOK,ION ORCHARD,37,
BEDOK,SINGAPORE GENERAL HOSPITAL,31,
BUKIT TIMAH,CITY HALL,39,
BUKIT TIMAH,ION ORCHARD,35,
BUKIT TIMAH,SINGAPORE GENERAL HOSPITAL,43,
BUKIT BATOK,CITY HALL,48,
BUKIT BATOK,ION ORCHARD,43,
BUKIT BATOK,SINGAPORE GENERAL HOSPITAL,51,
BUKIT MERAH,CITY HALL,25,
BUKIT MERAH,ION ORCHARD,28,
BUKIT MERAH,SINGAPORE GENERAL HOSPITAL,13,
CENTRAL WATER CATCHMENT,CITY HALL,Nil,
CENTRAL WATER CATCHMENT,ION ORCHARD,,
CENTRAL WATER CATCHMENT,SINGAPORE GENERAL HOSPITAL,,
DOWNTOWN CORE,CITY HALL,12,by walk
DOWNTOWN CORE,ION ORCHARD,22,
DOWNTOWN CORE,SINGAPORE GENERAL HOSPITAL,16,
CHANGI,CITY HALL,90,
CHANGI,ION ORCHARD,100,
CHANGI,SINGAPORE GENERAL HOSPITAL,95,
CHANGI BAY,CITY HALL,96,
CHANGI BAY,ION ORCHARD,107,
CHANGI BAY,SINGAPORE GENERAL HOSPITAL,101,
LIM CHU KANG,CITY HALL,106,
LIM CHU KANG,ION ORCHARD,113,
LIM CHU KANG,SINGAPORE GENERAL HOSPITAL,99,
BOON LAY,CITY HALL,65,
BOON LAY,ION ORCHARD,68,
BOON LAY,SINGAPORE GENERAL HOSPITAL,58,
WESTERN WATER CATCHMENT,CITY HALL,64,
WESTERN WATER CATCHMENT,ION ORCHARD,68,
WESTERN WATER CATCHMENT,SINGAPORE GENERAL HOSPITAL,57,
WOODLANDS,CITY HALL,49,
WOODLANDS,ION ORCHARD,41,
WOODLANDS,SINGAPORE GENERAL HOSPITAL,48,
MARINE PARADE,CITY HALL,29,
MARINE PARADE,ION ORCHARD,37,
MARINE PARADE,SINGAPORE GENERAL HOSPITAL,48,
NEWTON,CITY HALL,23,
NEWTON,ION ORCHARD,17,
NEWTON,SINGAPORE GENERAL HOSPITAL,31,
NORTH-EASTERN ISLANDS,CITY HALL,,
NORTH-EASTERN ISLANDS,ION ORCHARD,,
NORTH-EASTERN ISLANDS,SINGAPORE GENERAL HOSPITAL,,
ORCHARD,CITY HALL,14,
ORCHARD,ION ORCHARD,15,
ORCHARD,SINGAPORE GENERAL HOSPITAL,22,
PASIR RIS,CITY HALL,41,
PASIR RIS,ION ORCHARD,51,
PASIR RIS,SINGAPORE GENERAL HOSPITAL,46,
PIONEER,CITY HALL,58,
PIONEER,ION ORCHARD,62,
PIONEER,SINGAPORE GENERAL HOSPITAL,51,
PUNGGOL,CITY HALL,49,
PUNGGOL,ION ORCHARD,53,
PUNGGOL,SINGAPORE GENERAL HOSPITAL,48,
QUEENSTOWN,CITY HALL,27,
QUEENSTOWN,ION ORCHARD,31,
QUEENSTOWN,SINGAPORE GENERAL HOSPITAL,20,
SEMBAWANG,CITY HALL,40,
SEMBAWANG,ION ORCHARD,35,
SEMBAWANG,SINGAPORE GENERAL HOSPITAL,52,
SIMPANG,CITY HALL,66,
SIMPANG,ION ORCHARD,61,
SIMPANG,SINGAPORE GENERAL HOSPITAL,77,
TAMPINES,CITY HALL,47,
TAMPINES,ION ORCHARD,58,
TAMPINES,SINGAPORE GENERAL HOSPITAL,53,
TANGLIN,CITY HALL,25,
TANGLIN,ION ORCHARD,11,
TANGLIN,SINGAPORE GENERAL HOSPITAL,19,
TUAS,CITY HALL,83,
TUAS,ION ORCHARD,87,
TUAS,SINGAPORE GENERAL HOSPITAL,76,
WESTERN ISLANDS,CITY HALL,,
WESTERN ISLANDS,ION ORCHARD,,
WESTERN ISLANDS,SINGAPORE GENERAL HOSPITAL,,
SOUTHERN ISLANDS,CITY HALL,52,
