TYP_CD_DES,STN_NAM_DE,geometry,latitude,longitude,planning_area
MRT,ESPLANADE MRT STATION,"POLYGON ((30566.073713729158 30621.214118300006, 30569.417813729495 30619.282018300146, 30569.40041372925 30616.552818300202, 30566.942013729364 30612.297818301246, 30563.833813729696 30609.895518301055, 30558.475413729437 30607.781118299812, 30553.117013729177 30605.666818300262, 30552.842013729736 30605.215818300843, 30554.02261372935 30604.495918300003, 30547.382313729264 30593.60391830094, 30549.34601372946 30592.406818300486, 30540.033913729712 30577.132618300617, 30530.59831372928 30582.890218300745, 30521.121513729915 30567.189318301156, 30511.64481372945 30551.488518301398, 30510.866513729095 30551.93791829981, 30509.11721372977 30548.90801830031, 30489.284213729203 30560.35611830093, 30503.32981372997 30584.68571829982, 30502.463613729924 30591.07891830057, 30497.54411372915 30594.078118300065, 30499.366013729945 30597.066518301144, 30481.820013729855 30607.763718299568, 30479.712013729848 30604.305918300524, 30458.865613729693 30617.0146182999, 30458.09891372919 30620.176418300718, 30458.85361372959 30621.414218300954, 30447.083613729104 30628.58991830051, 30447.23981372919 30628.846118301153, 30421.056713729165 30644.809018300846, 30394.87361372914 30660.77191830054, 30403.90521372948 30675.585818300024, 30412.936813729815 30690.3998183012, 30417.1042137295 30687.85901829973, 30422.85631372966 30697.29391830042, 30444.266113729216 30684.241118300706, 30465.675913729705 30671.188318300992, 30459.41621372942 30660.921018300578, 30485.244713729247 30645.17431830056, 30485.088513729163 30644.918218299747, 30499.02251372952 30636.423018300906, 30512.956513729878 30627.927918300033, 30518.90241372958 30625.105118300766, 30524.84821372945 30622.282318299636, 30533.32191372942 30617.116318300366, 30541.795513729565 30611.950318301097, 30549.818013729528 30615.115418300033, 30559.16071372945 30631.19631830044, 30558.53871372994 30634.69811830111, 30552.659313729964 30638.284818300977, 30556.719713729806 30644.944518299773, 30562.79091372993 30641.240818301216, 30564.572913729586 30631.210118301213, 30564.684813729487 30631.403718300164, 30565.20431372989 30631.10351829976, 30564.704113729298 30630.237718300894, 30569.63951372914 30627.3859183006, 30566.073713729158 30621.214118300006))",1.2932599005110816,103.85561173051624,DOWNTOWN CORE
MRT,PAYA LEBAR MRT STATION,"POLYGON ((34495.599713729694 33384.436318300664, 34529.35371372942 33388.669818300754, 34530.38901372999 33388.49741830118, 34549.41651372984 33390.88381830044, 34552.58281372953 33394.9596183002, 34551.48151372932 33403.74051829986, 34557.33571372926 33404.474718300626, 34560.732913729735 33377.38721830025, 34559.29431372974 33377.20681830123, 34560.140613729134 33370.45971830003, 34569.79631372914 33371.67081830092, 34571.328513729386 33361.36651830003, 34573.953413729556 33341.48071829975, 34575.031613729894 33332.65211830102, 34592.34611372929 33344.28371830098, 34609.66051372979 33355.91711829975, 34612.002213729545 33352.43191830069, 34618.6583137298 33356.90421830118, 34623.5389137296 33349.640318300575, 34600.13691372983 33333.9166183006, 34576.73501372989 33318.19301830046, 34581.32171372976 33281.53391830064, 34586.409513729624 33241.276018301025, 34589.374713729136 33218.485418301076, 34589.596913729794 33216.68001830019, 34595.113613729365 33217.37191830017, 34597.472013729624 33198.56931830011, 34571.78131372947 33195.34711830132, 34546.09061372932 33192.12491830066, 34545.58301372919 33205.3047183007, 34537.28921373002 33204.985418301076, 34533.04241372924 33204.82181829959, 34532.51221372932 33218.58991830051, 34549.290313730016 33232.083318300545, 34535.68241372984 33340.8728183005, 34531.154113729484 33375.55751829967, 34530.74291372951 33378.664918299764, 34496.85651372932 33374.414918299764, 34495.599713729694 33384.436318300664))",1.3173694012363306,103.89227219451108,GEYLANG
MRT,DHOBY GHAUT MRT STATION,"POLYGON ((29293.51401372999 31312.52751830034, 29360.101913729683 31290.708218300715, 29361.84591372963 31296.03031830117, 29362.32121372968 31295.874518301338, 29363.911913729273 31300.729218300432, 29371.072813729756 31306.656718300655, 29378.54741372913 31297.626518299803, 29380.05561372917 31298.87491830066, 29382.10671372991 31296.39681830071, 29384.020613729954 31295.76961830072, 29384.083713729866 31295.96221830137, 29390.896313729696 31287.778118301183, 29398.966113729402 31278.135018300265, 29453.38631372992 31260.341318299994, 29480.006913729943 31251.63901830092, 29499.323313729838 31245.324418300763, 29492.550513729453 31224.65521830134, 29475.605013730004 31230.208018301055, 29474.71261372976 31227.48441830091, 29472.023713729344 31228.365518299863, 29471.695113729686 31227.362618301064, 29471.197213729843 31227.525718299672, 29468.83751372993 31220.324518300593, 29468.816713729873 31220.26111830026, 29460.773513729684 31222.838918300346, 29460.711213729344 31222.648818301037, 29436.56291372981 31230.561718299985, 29439.02271372918 31238.068618301302, 29384.407513729297 31255.96481830068, 29371.87841372937 31265.185918301344, 29343.181613729335 31274.589118300006, 29340.241013729945 31265.615118300542, 29334.87041372992 31267.37491830066, 29332.659213729203 31266.000918300822, 29330.939213729464 31260.751718301326, 29316.875013729557 31265.360218301415, 29322.156613729894 31281.47851829976, 29313.355413729325 31284.362518301234, 29311.841613729484 31279.74281829968, 29291.12821372971 31286.530118299648, 29292.64201372955 31291.1498183012, 29286.744613729417 31293.08221830055, 29293.51401372999 31312.52751830034))",1.2990442030454223,103.8458331610417,MUSEUM
MRT,DAKOTA MRT STATION,"POLYGON ((34055.075013729744 32290.624118300155, 34171.518513729796 32310.335418300703, 34168.54341372941 32327.91061829962, 34182.83991372958 32330.330618301407, 34192.09931372944 32343.363518301398, 34213.195313729346 32346.934618299827, 34214.25951372925 32348.433718301356, 34238.70201372914 32352.57081830129, 34239.87031372916 32345.66901830025, 34237.809213729575 32345.320018300787, 34241.719713729806 32322.218818301335, 34244.67771372944 32322.719618299976, 34248.99221372977 32297.232118301094, 34149.11291372962 32280.324818300083, 34151.87941372953 32263.982418300584, 34142.907113729976 32262.463618300855, 34142.98641372938 32261.995218301192, 34116.02001372911 32257.430418301374, 34113.17441372946 32274.241318300366, 34094.81051372923 32271.132718300447, 34095.241113729775 32268.588618300855, 34091.80421372969 32263.422818301246, 34075.2833137298 32260.626218300313, 34073.85191372968 32257.613818300888, 34074.88151372969 32251.531718300655, 34065.12041372992 32249.879418300465, 34065.19371372927 32249.44591830112, 34059.37661372963 32248.460518300533, 34058.078313729726 32256.1303183008, 34059.29331372958 32265.704518301412, 34055.075013729744 32290.624118300155))",1.3083751548578983,103.88866829961988,GEYLANG
MRT,LAVENDER MRT STATION,"POLYGON ((31236.49801372923 32085.763718299568, 31234.13671372924 32088.300818299875, 31233.69141372945 32087.884718300775, 31218.134813729674 32104.58791830018, 31206.294913729653 32105.009818300605, 31200.88081372995 32099.968718299642, 31183.800813729875 32118.31051830016, 31195.681613729335 32129.37301830016, 31195.51951372996 32129.550818299875, 31283.757813729346 32211.72071829997, 31282.68551372923 32212.87301830016, 31264.60941372998 32196.04101829976, 31244.160113729537 32218.00001830049, 31282.12301372923 32253.35351829976, 31286.31051372923 32253.699218301103, 31292.07421372924 32246.63091829978, 31297.431613729335 32240.142618300393, 31299.36721372977 32235.27541830018, 31307.121113729663 32243.33401830122, 31312.51951372996 32238.503918301314, 31350.49021372944 32273.53321829997, 31367.56831372995 32255.19331829995, 31359.152313729748 32247.355518300086, 31371.93551372923 32233.63081829995, 31371.480413729325 32220.85941830091, 31375.009813729674 32217.070318300277, 31361.396513729356 32204.39451830089, 31360.19341372978 32205.68751830049, 31357.863313729875 32203.515618300065, 31352.78911372926 32208.966818301007, 31345.72071372997 32209.218718299642, 31337.599613729864 32217.939418300986, 31323.966813729145 32205.244118301198, 31340.570313729346 32187.412118300796, 31332.293013729155 32179.705118300393, 31336.017613729462 32175.705118300393, 31307.76951372996 32149.40041830018, 31289.70701372996 32168.794918300584, 31290.000013729557 32169.066418301314, 31283.236313729547 32176.33201830089, 31239.882813729346 32135.960918299854, 31244.355513729155 32131.15821829997, 31243.78321372997 32115.08201830089, 31252.660113729537 32105.54881830141, 31251.701113729738 32104.656218299642, 31254.062513729557 32102.119118301198, 31236.49801372923 32085.763718299568))",1.3073717305401726,103.86283780137067,KALLANG
LRT,RENJONG LRT STATION,"POLYGON ((34382.65621372964 40949.640618300065, 34324.53911372926 40966.12111829966, 34328.60941372998 40980.52731830068, 34386.70701372996 40964.06251830049, 34382.65621372964 40949.640618300065))",1.3867475130805276,103.8904287884913,SENGKANG
MRT,DOVER MRT STATION,"POLYGON ((21987.246113729663 32576.906218299642, 21977.17771372944 32581.8047183007, 21966.406213729642 32587.293018300086, 21957.35161372926 32592.302718300372, 21950.169913729653 32596.494118301198, 21913.048813729547 32618.976618301123, 21867.474613729864 32646.509818300605, 21852.111313729547 32656.517518300563, 21832.732413729653 32669.99801830016, 21844.468713729642 32689.306618301198, 21865.61721372977 32678.199218301103, 21880.94331372995 32669.65041830018, 21927.19921372924 32641.722618300468, 21950.72851372976 32627.482418300584, 21973.896513729356 32613.40041830018, 21982.419913729653 32607.501918300986, 21989.933613729663 32602.169918300584, 21998.625013729557 32595.84571829997, 21987.246113729663 32576.906218299642))",1.3113946902694622,103.77864915497852,QUEENSTOWN
MRT,HOUGANG MRT STATION,"POLYGON ((34585.74481373001 39132.47261830047, 34568.045613729395 39132.47261830047, 34561.74091372918 39132.47261830047, 34561.74091372918 39136.1992183011, 34561.733113729395 39138.33981830068, 34558.233013729565 39140.47261830047, 34544.03381372988 39140.47261830047, 34544.04161372967 39166.97261830047, 34543.38151372969 39170.503918301314, 34543.3776137298 39213.53901830129, 34561.47911372967 39213.53901830129, 34561.47131372988 39286.62111829966, 34523.018213729374 39286.62111829966, 34523.010413729586 39351.59371829964, 34585.72521372978 39351.60151830129, 34585.7292137295 39319.648418299854, 34590.61201372929 39319.648418299854, 34590.59241372999 39312.79681830108, 34593.59631372988 39312.79681830108, 34595.8776137298 39310.51951830089, 34595.8776137298 39308.12111829966, 34628.41661372967 39308.12501830049, 34628.41661372967 39309.33201830089, 34634.04951372929 39309.335918299854, 34634.045613729395 39330.675818299875, 34643.018213729374 39330.675818299875, 34643.018213729374 39295.273418299854, 34593.28781372961 39295.273418299854, 34593.28781372961 39289.62501830049, 34590.61201372929 39289.62111829966, 34590.61201372929 39283.3242183011, 34585.73701372929 39283.3242183011, 34585.983013729565 39273.5117183011, 34585.79161372967 39209.5742183011, 34598.393213729374 39209.578118300065, 34598.39711372927 39169.70701830089, 34598.98701372929 39169.70701830089, 34598.98701372929 39159.10941830091, 34585.733113729395 39159.10941830091, 34585.74481373001 39136.92191830091, 34585.74481373001 39132.47261830047))",1.3712811748310318,103.892347534172,HOUGANG
LRT,PHOENIX LRT STATION,"POLYGON ((19602.91601372976 40048.6367183011, 19601.736313729547 40052.25781830028, 19595.738313729875 40070.585918299854, 19640.710913729854 40085.31251830049, 19645.113313729875 40071.855418300256, 19647.56641372945 40064.35941830091, 19640.15821372997 40060.828118300065, 19602.91601372976 40048.6367183011))",1.3786249494438885,103.7580336231313,CHOA CHU KANG
MRT,ALJUNIED MRT STATION,"POLYGON ((33422.34761372954 33158.316418301314, 33424.12111372966 33186.828118300065, 33422.57421372924 33190.69531830028, 33441.19921372924 33193.98441830091, 33448.95701372996 33195.355418300256, 33455.453113729134 33196.503918301314, 33466.85151372943 33198.51951830089, 33493.47651372943 33203.22651830129, 33502.31251372956 33204.78901830129, 33509.085913729854 33205.98441830091, 33612.93361372966 33224.34371829964, 33615.16021372937 33212.03121829964, 33609.605513729155 33202.22651830129, 33609.34761372954 33198.855418300256, 33611.00001372956 33189.425818299875, 33611.71481372975 33185.33981830068, 33598.62501372956 33187.6172183007, 33590.51171372924 33181.890618300065, 33589.84771372937 33181.42191830091, 33586.945313729346 33181.925818299875, 33571.925813729875 33184.53511830047, 33565.78521372937 33180.21481830068, 33564.988313729875 33180.07031830028, 33558.03511372954 33178.83981830068, 33552.22261372954 33177.81251830049, 33496.28901372943 33167.90231830068, 33495.27731372975 33167.72261830047, 33494.73431372922 33167.62501830049, 33486.28521372937 33166.14451830089, 33464.15231372975 33162.210918299854, 33445.82421372924 33160.503918301314, 33439.57421372924 33159.92191830091, 33422.34761372954 33158.316418301314))",1.3164324728309895,103.8829060434612,GEYLANG
